{'text': '[Applause]', 'start': 1.04, 'duration': 3.109}
{'text': "they're just one of the two largest", 'start': 963.6, 'duration': 4.64}
{'text': 'companies in the business the other', 'start': 966.44, 'duration': 4.959}
{'text': 'company is Cash America okay so how did', 'start': 968.24, 'duration': 6.039}
{'text': 'they practice their best practices Cash', 'start': 971.399, 'duration': 5.12}
{'text': 'America was ordered to pay $19 million', 'start': 974.279, 'duration': 4.881}
{'text': 'in refunds and fines late last year for', 'start': 976.519, 'duration': 4.841}
{'text': 'illegally overcharging service members', 'start': 979.16, 'duration': 3.88}
{'text': 'and for destroying', 'start': 981.36, 'duration': 4.44}
{'text': 'documents so what you like about that', 'start': 983.04, 'duration': 5.12}
{'text': 'illegally overcharging service members', 'start': 985.8, 'duration': 4.92}
{'text': 'is a ball business practice they must', 'start': 988.16, 'duration': 4.039}
{'text': 'have been the ones driving around with', 'start': 990.72, 'duration': 3.44}
{'text': 'those bumper stickers that say extort', 'start': 992.199, 'duration': 5.241}
{'text': 'our troops but but settlements like', 'start': 994.16, 'duration': 5.039}
{'text': 'those are actually something of a rarity', 'start': 997.44, 'duration': 4.0}
{'text': 'and that brings us to why the payday', 'start': 999.199, 'duration': 4.841}
{'text': 'loan industry is seemingly Unstoppable', 'start': 1001.44, 'duration': 4.759}
{'text': 'they are incredibly good at avoiding', 'start': 1004.04, 'duration': 4.2}
{'text': 'regulation just look at one example in', 'start': 1006.199, 'duration': 5.041}
{'text': 'Texas they actually tried to re in the', 'start': 1008.24, 'duration': 4.64}
{'text': 'payday loan industry there a few years', 'start': 1011.24, 'duration': 4.2}
{'text': 'ago but they faced opposition from one', 'start': 1012.88, 'duration': 5.639}
{'text': 'particular state legislator members I', 'start': 1015.44, 'duration': 6.12}
{'text': 'just can not see why this why this this', 'start': 1018.519, 'duration': 6.361}
{'text': 'legislation could possibly be necessary', 'start': 1021.56, 'duration': 6.16}
{'text': 'unless it is the big the big', 'start': 1024.88, 'duration': 5.36}
{'text': 'institutions trying to squeeze the', 'start': 1027.72, 'duration': 6.119}
{'text': 'little guys and the little guys in his', 'start': 1030.24, 'duration': 6.64}
{'text': 'analogy are payday loan companies', 'start': 1033.839, 'duration': 4.281}
{'text': "although I've got to say if you spell", 'start': 1036.88, 'duration': 2.84}
{'text': 'little guys with a dollar sign instead', 'start': 1038.12, 'duration': 2.919}
{'text': "of an S you've got yourself a pretty", 'start': 1039.72, 'duration': 4.44}
{'text': 'good name for a store right there that', 'start': 1041.039, 'duration': 5.241}
{'text': 'that man is Texas state representative', 'start': 1044.16, 'duration': 4.399}
{'text': 'Gary Elkins and his proud defense of the', 'start': 1046.28, 'duration': 4.759}
{'text': 'little guy is about to get a little', 'start': 1048.559, 'duration': 5.161}
{'text': "muddier but isn't it true that you have", 'start': 1051.039, 'duration': 6.441}
{'text': '12 very successful payday and title loan', 'start': 1053.72, 'duration': 7.199}
{'text': 'locations across the', 'start': 1057.48, 'duration': 3.439}
{'text': 'state let me answer that question for', 'start': 1061.24, 'duration': 5.799}
{'text': 'him it is true it is true he does and', 'start': 1063.559, 'duration': 5.201}
{'text': 'they include an outpost of the', 'start': 1067.039, 'duration': 4.361}
{'text': 'wonderfully named Power Finance', 'start': 1068.76, 'duration': 5.919}
{'text': "Texas can I interest y'all in some Power", 'start': 1071.4, 'duration': 6.44}
{'text': 'Finance but but but I apologize I', 'start': 1074.679, 'duration': 5.401}
{'text': 'interrupted', 'start': 1077.84, 'duration': 4.76}
{'text': 'need this regulation that you stand to', 'start': 1080.08, 'duration': 4.52}
{'text': 'add to your personal wealth considerably', 'start': 1082.6, 'duration': 3.88}
{'text': 'by killing these', 'start': 1084.6, 'duration': 5.12}
{'text': 'bills you know what that that is not', 'start': 1086.48, 'duration': 5.84}
{'text': 'about the bill Mr Mr Elkin do you know', 'start': 1089.72, 'duration': 4.199}
{'text': 'the meaning of the term conflict of', 'start': 1092.32, 'duration': 6.12}
{'text': 'interest oh oh do I know it why Madam I', 'start': 1093.919, 'duration': 6.681}
{'text': 'am the physical embodiment of that term', 'start': 1098.44, 'duration': 3.76}
{'text': 'at this very', 'start': 1100.6, 'duration': 3.68}
{'text': 'moment you you might be thinking that', 'start': 1102.2, 'duration': 4.599}
{'text': 'that woman Vicky Truitt is awesome you', 'start': 1104.28, 'duration': 4.92}
{'text': 'know fearlessly calling out how the p Lo', 'start': 1106.799, 'duration': 5.24}
{'text': 'industry influences politicians which is', 'start': 1109.2, 'duration': 5.04}
{'text': "why it's going to be so hard to tell you", 'start': 1112.039, 'duration': 5.12}
{'text': 'that just 17 days after leaving office', 'start': 1114.24, 'duration': 5.439}
{'text': 'she signed on as a lobbyist for Ace Cash', 'start': 1117.159, 'duration': 6.801}
{'text': 'Express you know the circle people now', 'start': 1119.679, 'duration': 7.12}
{'text': 'thankfully thankfully Texas also has a', 'start': 1123.96, 'duration': 4.959}
{'text': 'finance commission which oversees the', 'start': 1126.799, 'duration': 5.561}
{'text': 'payday loan industry guess who runs that', 'start': 1128.919, 'duration': 5.64}
{'text': 'William J White is Vice President of', 'start': 1132.36, 'duration': 5.08}
{'text': 'Cash America and was also appointed by', 'start': 1134.559, 'duration': 4.841}
{'text': "the governor as chairman of the state's", 'start': 1137.44, 'duration': 5.0}
{'text': 'Finance commission which oversees payday', 'start': 1139.4, 'duration': 6.72}
{'text': "loan outfits that's right the chairman", 'start': 1142.44, 'duration': 5.359}
{'text': 'of the commission that oversees the', 'start': 1146.12, 'duration': 4.36}
{'text': 'payday loan industry is also at the same', 'start': 1147.799, 'duration': 4.921}
{'text': 'time a vice president of one of the', 'start': 1150.48, 'duration': 3.88}
{'text': 'biggest payday loan companies in the', 'start': 1152.72, 'duration': 4.319}
{'text': 'country I call dingo I call dingo on', 'start': 1154.36, 'duration': 6.799}
{'text': 'that man I call dingo on him I call', 'start': 1157.039, 'duration': 7.721}
{'text': "dingo dingo dingo Dingle so so let's", 'start': 1161.159, 'duration': 5.441}
{'text': "just let's just quickly break all of", 'start': 1164.76, 'duration': 3.64}
{'text': 'that down if you are hoping to protect', 'start': 1166.6, 'duration': 2.68}
{'text': 'Tex', 'start': 1168.4, 'duration': 2.84}
{'text': 'from the payday loan industry you would', 'start': 1169.28, 'duration': 3.879}
{'text': 'need to approach a commission overseen', 'start': 1171.24, 'duration': 4.2}
{'text': 'by the Vice President of a payday loan', 'start': 1173.159, 'duration': 5.081}
{'text': 'company and then introduce a bill into', 'start': 1175.44, 'duration': 5.16}
{'text': 'the state legislature where the owner of', 'start': 1178.24, 'duration': 5.12}
{'text': '12 payday loan stores will debate the', 'start': 1180.6, 'duration': 5.12}
{'text': 'merits of the payday loan industry with', 'start': 1183.36, 'duration': 4.36}
{'text': "one of the payday loan industry's future", 'start': 1185.72, 'duration': 2.959}
{'text': 'lobbyists apparently even cluster', 'start': 1188.679, 'duration': 7.201}
{'text': 'are bigger in Texas but but the truly', 'start': 1191.36, 'duration': 7.08}
{'text': 'chilling skill payday loan companies', 'start': 1195.88, 'duration': 4.88}
{'text': 'have is not how they prevent legislation', 'start': 1198.44, 'duration': 4.68}
{'text': "from getting passed it's how they react", 'start': 1200.76, 'duration': 4.48}
{'text': 'when it gets through for instance when', 'start': 1203.12, 'duration': 4.32}
{'text': 'Illinois passed an act which applied to', 'start': 1205.24, 'duration': 5.04}
{'text': 'loans of up to 120 days companies simply', 'start': 1207.44, 'duration': 5.96}
{'text': 'began offering loans with terms of 121', 'start': 1210.28, 'duration': 5.399}
{'text': 'days instead which is like betting a', 'start': 1213.4, 'duration': 4.32}
{'text': 'dollar on the price of right on the', 'start': 1215.679, 'duration': 3.921}
{'text': "prices right you're technically allowed", 'start': 1217.72, 'duration': 4.16}
{'text': 'to do it but you know', 'start': 1219.6, 'duration': 6.319}
{'text': 'you now guess what when Arizona outlawed', 'start': 1221.88, 'duration': 6.039}
{'text': 'payday loans many companies shifted to', 'start': 1225.919, 'duration': 4.521}
{'text': 'selling title loans instead which are', 'start': 1227.919, 'duration': 4.601}
{'text': 'basically the same except they also get', 'start': 1230.44, 'duration': 4.84}
{'text': "to take your car for Regulators it's", 'start': 1232.52, 'duration': 4.72}
{'text': "it's like it's like playing legislative", 'start': 1235.28, 'duration': 3.639}
{'text': "whacka moole just when you think you've", 'start': 1237.24, 'duration': 4.36}
{'text': 'squashed them down somewhere up they pop', 'start': 1238.919, 'duration': 5.081}
{'text': 'up somewhere else wearing a completely', 'start': 1241.6, 'duration': 5.0}
{'text': 'different outfit and and the most', 'start': 1244.0, 'duration': 4.32}
{'text': 'amazing example of all of this took', 'start': 1246.6, 'duration': 4.88}
{'text': 'place in Ohio in 2008 they somehow', 'start': 1248.32, 'duration': 6.239}
{'text': 'capped payday loan rates at 28% any', 'start': 1251.48, 'duration': 5.8}
{'text': 'company licensed as a short-term lender', 'start': 1254.559, 'duration': 6.401}
{'text': 'had to abide by that but where one mole', 'start': 1257.28, 'duration': 6.399}
{'text': 'Falls another mole shall', 'start': 1260.96, 'duration': 5.719}
{'text': 'rise and as of last year there were no', 'start': 1263.679, 'duration': 5.0}
{'text': 'businesses in Ohio licensed to', 'start': 1266.679, 'duration': 4.521}
{'text': 'short-term lenders there was however a', 'start': 1268.679, 'duration': 4.841}
{'text': 'sudden increase of companies registering', 'start': 1271.2, 'duration': 4.959}
{'text': 'as mortgage lenders offering people', 'start': 1273.52, 'duration': 5.68}
{'text': 'short-term mortgages of around', 'start': 1276.159, 'duration': 5.64}
{'text': '$300 watch now as the lawyer for a', 'start': 1279.2, 'duration': 5.04}
{'text': 'company called Cash Land explains this', 'start': 1281.799, 'duration': 5.561}
{'text': 'to a judge so Cash Land would not be', 'start': 1284.24, 'duration': 6.08}
{'text': 'subject then to the short-term loan uh', 'start': 1287.36, 'duration': 5.4}
{'text': "act because it's not registered as a", 'start': 1290.32, 'duration': 4.52}
{'text': "short-term lender exactly you're under", 'start': 1292.76, 'duration': 4.56}
{'text': 'the short-term loan act by the', 'start': 1294.84, 'duration': 4.56}
{'text': 'Legislative enactment says it applies', 'start': 1297.32, 'duration': 4.239}
{'text': 'only to those who register under the', 'start': 1299.4, 'duration': 4.0}
{'text': 'short-term loan', 'start': 1301.559, 'duration': 4.72}
{'text': 'act why even bother calling yourselves', 'start': 1303.4, 'duration': 4.8}
{'text': 'mortgage lenders why not just call', 'start': 1306.279, 'duration': 4.52}
{'text': 'yourselves peanut butter octopus', 'start': 1308.2, 'duration': 5.0}
{'text': "companies you can't regulate peanut", 'start': 1310.799, 'duration': 5.641}
{'text': "butter octopi they don't technically", 'start': 1313.2, 'duration': 6.599}
{'text': 'exist and in the rare Cas where States', 'start': 1316.44, 'duration': 5.239}
{'text': 'succeed in imposing stringent', 'start': 1319.799, 'duration': 4.641}
{'text': 'regulations some payday loan companies', 'start': 1321.679, 'duration': 6.12}
{'text': 'have one final trick up their sleeve now', 'start': 1324.44, 'duration': 4.839}
{'text': 'some payday lenders have found a', 'start': 1327.799, 'duration': 3.561}
{'text': 'loophole by partnering with Indian', 'start': 1329.279, 'duration': 3.721}
{'text': 'tribes that gives payday lenders the', 'start': 1331.36, 'duration': 4.16}
{'text': 'cover of sovereign immunity to avoid', 'start': 1333.0, 'duration': 4.2}
{'text': 'state', 'start': 1335.52, 'duration': 4.48}
{'text': "regulations that's right some payday", 'start': 1337.2, 'duration': 4.4}
{'text': 'lenders are currently dressing', 'start': 1340.0, 'duration': 4.12}
{'text': 'themselves up as Native Americans I', 'start': 1341.6, 'duration': 4.28}
{'text': 'thought only Johnny Depp was allowed to', 'start': 1344.12, 'duration': 3.039}
{'text': 'do', 'start': 1345.88, 'duration': 5.159}
{'text': 'that H how how does that even work this', 'start': 1347.159, 'duration': 6.161}
{'text': 'payday lender cash faery has teamed up', 'start': 1351.039, 'duration': 4.201}
{'text': 'with the fort bellnap Indian tribe in', 'start': 1353.32, 'duration': 3.76}
{'text': 'Montana and as you can see they are', 'start': 1355.24, 'duration': 4.039}
{'text': 'charging online interest rates in the', 'start': 1357.08, 'duration': 6.04}
{'text': '700% range if you can become affiliated', 'start': 1359.279, 'duration': 7.161}
{'text': 'with a tribe and be able to invert local', 'start': 1363.12, 'duration': 5.919}
{'text': 'and state laws in my opinion apparently', 'start': 1366.44, 'duration': 4.359}
{'text': 'lone sharking is still legal in this', 'start': 1369.039, 'duration': 4.841}
{'text': "country it's true although let's be fair", 'start': 1370.799, 'duration': 5.321}
{'text': 'no lone shark would ever go by the name', 'start': 1373.88, 'duration': 5.56}
{'text': 'cash fairy hey better get me that money', 'start': 1376.12, 'duration': 4.6}
{'text': "by midnight or you're going to get a", 'start': 1379.44, 'duration': 5.08}
{'text': 'visit from the cash fairy the cash', 'start': 1380.72, 'duration': 6.92}
{'text': "fairy here's here's the problem payday", 'start': 1384.52, 'duration': 5.759}
{'text': 'loan companies are almost impossible to', 'start': 1387.64, 'duration': 4.68}
{'text': 'effectively regulate and they are not', 'start': 1390.279, 'duration': 4.88}
{'text': 'going anywhere a Pew survey found that a', 'start': 1392.32, 'duration': 5.56}
{'text': 'majority of borrowers said payday loans', 'start': 1395.159, 'duration': 5.601}
{'text': 'take advantage of them but a majority', 'start': 1397.88, 'duration': 5.72}
{'text': 'also said they provide relief and that', 'start': 1400.76, 'duration': 5.56}
{'text': 'is why they are so dangerous people', 'start': 1403.6, 'duration': 5.0}
{'text': 'sometimes need them but you have to be', 'start': 1406.32, 'duration': 4.959}
{'text': 'absolutely sure there are no better', 'start': 1408.6, 'duration': 5.84}
{'text': 'options apparently 41% of those surveyed', 'start': 1411.279, 'duration': 5.681}
{'text': 'who taken outp payday loans ended up', 'start': 1414.44, 'duration': 4.479}
{'text': 'having to borrow from family or porn', 'start': 1416.96, 'duration': 3.599}
{'text': 'possessions or other things that they', 'start': 1418.919, 'duration': 4.201}
{'text': 'could have done in the first place just', 'start': 1420.559, 'duration': 6.12}
{'text': 'to pay off that payday loan and yet', 'start': 1423.12, 'duration': 5.6}
{'text': 'payday loans superficially do look', 'start': 1426.679, 'duration': 4.401}
{'text': "easier all these commercials they're", 'start': 1428.72, 'duration': 5.839}
{'text': "enticing and they're also everywhere the", 'start': 1431.08, 'duration': 5.88}
{'text': 'least we can do is launch a counter', 'start': 1434.559, 'duration': 4.6}
{'text': 'campaign with a celebrity spokesperson', 'start': 1436.96, 'duration': 5.36}
{'text': 'of our own to remind people to make sure', 'start': 1439.159, 'duration': 5.841}
{'text': 'they explore all their better options', 'start': 1442.32, 'duration': 5.839}
{'text': "first hi I'm Sarah Silverman if you're", 'start': 1445.0, 'duration': 5.52}
{'text': "considering taking out a payday loan I'd", 'start': 1448.159, 'duration': 4.0}
{'text': 'like to tell you about a great', 'start': 1450.52, 'duration': 5.039}
{'text': "alternative it's called anything else", 'start': 1452.159, 'duration': 5.12}
{'text': 'the way it works is instead of taking', 'start': 1455.559, 'duration': 4.12}
{'text': 'out a payday loan you literally do', 'start': 1457.279, 'duration': 5.321}
{'text': 'anything else sell your sperm sell some', 'start': 1459.679, 'duration': 5.24}
{'text': 'blood throw yourself in front of a rich', 'start': 1462.6, 'duration': 4.079}
{'text': "guy's car he'll throw money at the", 'start': 1464.919, 'duration': 4.041}
{'text': 'problem just to make that go away', 'start': 1466.679, 'duration': 4.961}
{'text': 'are you an old person and need money', 'start': 1468.96, 'duration': 5.0}
{'text': "take things you're old no one's going to", 'start': 1471.64, 'duration': 4.32}
{'text': "stop you you're not going to go to jail", 'start': 1473.96, 'duration': 4.199}
{'text': 'go to the grocery store right now fill', 'start': 1475.96, 'duration': 3.839}
{'text': 'up a cart with everything you need and', 'start': 1478.159, 'duration': 4.721}
{'text': 'walk the out of there you know what', 'start': 1479.799, 'duration': 5.36}
{'text': 'people will pay you to pee on them', 'start': 1482.88, 'duration': 4.96}
{'text': "that's true duties too Duties are more", 'start': 1485.159, 'duration': 5.961}
{'text': 'like double I know this for a fact I it', 'start': 1487.84, 'duration': 4.64}
{'text': "doesn't matter but it's something that", 'start': 1491.12, 'duration': 3.919}
{'text': 'you have to do every day anyway right by', 'start': 1492.48, 'duration': 5.16}
{'text': 'not doing it you are literally flushing', 'start': 1495.039, 'duration': 5.041}
{'text': "money down the toilet it's irresponsible", 'start': 1497.64, 'duration': 5.0}
{'text': "there's money inside of you it's like", 'start': 1500.08, 'duration': 4.56}
{'text': 'Dorothy having the power to go home the', 'start': 1502.64, 'duration': 4.72}
{'text': 'whole time the point is no decision in', 'start': 1504.64, 'duration': 4.399}
{'text': 'your life will be worse than dealing', 'start': 1507.36, 'duration': 3.48}
{'text': 'with these payday loan', 'start': 1509.039, 'duration': 4.041}
{'text': " they're", 'start': 1510.84, 'duration': 5.04}
{'text': "they're of mothers so if you're", 'start': 1513.08, 'duration': 5.28}
{'text': 'thinking about getting a payday loan', 'start': 1515.88, 'duration': 4.84}
{'text': 'just simply pick up the phone then put', 'start': 1518.36, 'duration': 4.6}
{'text': 'it down again and do literally anything', 'start': 1520.72, 'duration': 5.36}
{'text': 'else do it', 'start': 1522.96, 'duration': 3.12}
{'text': 'now finally tonight', 'start': 1526.559, 'duration': 5.881}
{'text': 'finally tonight Russia ever since their', 'start': 1529.039, 'duration': 5.401}
{'text': 'annexation of Crimea sanctions between', 'start': 1532.44, 'duration': 4.04}
{'text': 'Russia and America have been escalating', 'start': 1534.44, 'duration': 4.2}
{'text': 'and this week they took tensions to a', 'start': 1536.48, 'duration': 4.559}
{'text': 'brand new level first the foreign', 'start': 1538.64, 'duration': 4.48}
{'text': 'minister tweeted pictures of President', 'start': 1541.039, 'duration': 4.0}
{'text': 'Putin holding a cheetah and President', 'start': 1543.12, 'duration': 4.72}
{'text': 'Obama holding a poodle and then there is', 'start': 1545.039, 'duration': 4.921}
{'text': 'this a laser light show in Moscow', 'start': 1547.84, 'duration': 5.319}
{'text': 'showing President Obama eating a banana', 'start': 1549.96, 'duration': 5.28}
{'text': 'and also wishing him happy', 'start': 1553.159, 'duration': 5.4}
{'text': 'birthday okay to be honest if you told', 'start': 1555.24, 'duration': 5.2}
{'text': 'me 50 years ago that Russia would one', 'start': 1558.559, 'duration': 4.641}
{'text': 'day attack the United States with lasers', 'start': 1560.44, 'duration': 5.2}
{'text': 'this would not have been what I was', 'start': 1563.2, 'duration': 6.04}
{'text': 'expecting also also to be honest that', 'start': 1565.64, 'duration': 5.0}
{'text': 'was not the work of the Russian', 'start': 1569.24, 'duration': 2.84}
{'text': 'government it was a bunch of Russian', 'start': 1570.64, 'duration': 4.159}
{'text': 'students presumably from their racist AV', 'start': 1572.08, 'duration': 6.24}
{'text': 'club uh this however was the Russian', 'start': 1574.799, 'duration': 5.961}
{'text': 'government Putin has banned food imports', 'start': 1578.32, 'duration': 4.56}
{'text': 'to Russia for one year including fruit', 'start': 1580.76, 'duration': 4.399}
{'text': 'and vegetables from Europe beef and pork', 'start': 1582.88, 'duration': 4.72}
{'text': 'from Australia and soybeans and chicken', 'start': 1585.159, 'duration': 3.76}
{'text': 'from the US', 'start': 1587.6, 'duration': 4.12}
{'text': "whoa whoa whoa whoa whoa Putin doesn't", 'start': 1588.919, 'duration': 5.24}
{'text': 'want our soybeans and chicken slow your', 'start': 1591.72, 'duration': 4.559}
{'text': "roll Russia cuz let's get one thing", 'start': 1594.159, 'duration': 4.4}
{'text': 'clear here you break up with our chicken', 'start': 1596.279, 'duration': 5.28}
{'text': 'and soybeans the relationship is over', 'start': 1598.559, 'duration': 5.401}
{'text': 'okay our chickens and soybeans are', 'start': 1601.559, 'duration': 4.281}
{'text': "single they're free to roam which", 'start': 1603.96, 'duration': 2.959}
{'text': "they're going to want to some of them", 'start': 1605.84, 'duration': 2.36}
{'text': 'have been kept in appalling conditions', 'start': 1606.919, 'duration': 2.841}
{'text': "but that's not the point here that's not", 'start': 1608.2, 'duration': 3.68}
{'text': 'the point the point is they are free to', 'start': 1609.76, 'duration': 3.72}
{'text': 'get right up in the mouth of whoever', 'start': 1611.88, 'duration': 4.24}
{'text': "they want to I'm warning you Russia I'll", 'start': 1613.48, 'duration': 5.36}
{'text': 'put us Chicken on Tinder right now there', 'start': 1616.12, 'duration': 5.84}
{'text': 'it is this is this is real check Tinder', 'start': 1618.84, 'duration': 6.04}
{'text': "right now it's actually there some", 'start': 1621.96, 'duration': 4.68}
{'text': 'pervert with a chicken fetish just hit', 'start': 1624.88, 'duration': 3.0}
{'text': 'the', 'start': 1626.64, 'duration': 3.84}
{'text': "jackpot as as for soybeans they're", 'start': 1627.88, 'duration': 4.64}
{'text': "already on grinder that's right soybeans", 'start': 1630.48, 'duration': 4.6}
{'text': 'are gay soybeans are gay how is that a', 'start': 1632.52, 'duration': 5.399}
{'text': "surprise to people but but I'm not just", 'start': 1635.08, 'duration': 4.8}
{'text': "going to I'm not just going to tell you", 'start': 1637.919, 'duration': 2.961}
{'text': "what you're giving up with these", 'start': 1639.88, 'duration': 3.72}
{'text': "sanctions Russia I'm going to show you", 'start': 1640.88, 'duration': 5.519}
{'text': 'come on out here chicken come on out and', 'start': 1643.6, 'duration': 5.319}
{'text': "don't look away Russia look who is", 'start': 1646.399, 'duration': 7.841}
{'text': 'single and ready to mingle oh yeah work', 'start': 1648.919, 'duration': 8.681}
{'text': 'that pole like a rotisserie you dirty', 'start': 1654.24, 'duration': 5.88}
{'text': "bird look don't touch", 'start': 1657.6, 'duration': 5.6}
{'text': "Russia you don't want this remember the", 'start': 1660.12, 'duration': 6.32}
{'text': 'party Foul is on the', 'start': 1663.2, 'duration': 7.8}
{'text': 'prow and oh oh for you vegetarians out', 'start': 1666.44, 'duration': 6.239}
{'text': "there we've got a little treat out here", 'start': 1671.0, 'duration': 6.519}
{'text': 'on the main stage edar me oh my Russia', 'start': 1672.679, 'duration': 10.201}
{'text': 'you just gave up a utility Bean oh yeah', 'start': 1677.519, 'duration': 7.481}
{'text': "look at him this Bean is so hot he's", 'start': 1682.88, 'duration': 3.24}
{'text': 'steaming', 'start': 1685.0, 'duration': 4.2}
{'text': 'himself drop the sanctions Russia drop', 'start': 1686.12, 'duration': 5.48}
{'text': "the sanctions that's it for our show", 'start': 1689.2, 'duration': 5.479}
{'text': 'this week our thanks to Sarah Silverman', 'start': 1691.6, 'duration': 5.36}
{'text': 'plus the proud American chicken and', 'start': 1694.679, 'duration': 6.161}
{'text': "soybean we'll see you next", 'start': 1696.96, 'duration': 3.88}
{'text': 'week heyone', 'start': 1702.32, 'duration': 4.7}
{'text': 'Moos hey alone', 'start': 1704.72, 'duration': 3.799}
{'text': '[Applause]', 'start': 1707.02, 'duration': 4.019}
{'text': 'workers what about the pay um instead of', 'start': 1708.519, 'duration': 4.88}
{'text': 'payday and Loan payday', 'start': 1711.039, 'duration': 7.321}
{'text': 'loan CTS suck a dick suck a dick suck a', 'start': 1713.399, 'duration': 9.16}
{'text': 'dick that was genius', 'start': 1718.36, 'duration': 4.199}
{'text': '[Applause]', 'start': 1727.07, 'duration': 3.34}
